Reversed left context	Reversed center	Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
 етинкторп ,вотог ьсуг отч ,ясьтидебу	 мыртсо 	убедиться, что гусь готов, проткните 	 острым 	 	 ножом бедро.	Рецепты национальных кухонь: Скандинавская кухня (2000-2005)			Рецепты национальных кухонь: Скандинавская кухня	2000-2005	бытовая, нехудожественная, производственно-техническая	рецепт	дом и домашнее хозяйство			электронный текст	омонимия снята	Для того, чтобы убедиться, что гусь готов, проткните острым ножом бедро. [Рецепты национальных кухонь: Скандинавская кухня (2000-2005)] [омонимия снята]
 йошьлоб и ― иворк в	 йыртсо 	в крови ― и большой 	 острый 	 	 нож.	Запись LiveJournal (2004)			Запись LiveJournal	2004	нехудожественная, электронная коммуникация	блог	частная жизнь			электронный текст	омонимия снята	В руках у безумца ― портфель, в котором лежат четыре предмета: бумажка с адресом Ливии, яблоко, измеритель содержания сахара в крови ― и большой острый нож. [Запись LiveJournal (2004)] [омонимия снята]
 тюазерорп и укйенил тюавыдалкирп метаЗ	 мыртсо 	Затем прикладывают линейку и прорезают 	 острым 	 	 ножом уложенные внахлест оба полотнища.	Елена Волкова. Тот самый линолеум // «Биржа плюс свой дом» (Н. Новгород), 2002.08.12	Елена Волкова		Тот самый линолеум	2002	нехудожественная, публицистика	статья	дом и домашнее хозяйство	«Биржа плюс свой дом» (Н. Новгород)	2002.08.12	газета	омонимия снята	Затем прикладывают линейку и прорезают острым ножом уложенные внахлест оба полотнища. [Елена Волкова. Тот самый линолеум // «Биржа плюс свой дом» (Н. Новгород), 2002.08.12] [омонимия снята]
 хынназероп ,хывенчирок хитэ ан лавымердоп	 имыртсо 	подремывал на этих коричневых, порезанных 	 острыми 	 	 ножиками сиденьях, в головах тоже	Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001	Андрей Волос	1955	Недвижимость	2000	художественная	роман	_	«Новый Мир»	2001	журнал	омонимия снята	Электричка покачивалась, и, наверное, у всех, кто подремывал на этих коричневых, порезанных острыми ножиками сиденьях, в головах тоже мелькали какие-то картинки, ― может быть, чем-то похожие на мои, ― да только никому здесь не было дела до того, что в голове у другого. [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]
 ёе илырку ино адог авд	 еыртсо 	два года они укрыли её 	 острые 	 	 лопатки.	Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000	Людмила Улицкая	1943	Казус Кукоцкого [Путешествие в седьмую сторону света]	2000	художественная	роман	_	«Новый Мир»	2000	журнал	омонимия снята	Теперь Таня носила короткие чёрные платья и длинные коричневые волосы, росшие с удивительной скоростью: за два года они укрыли её острые лопатки. [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
 с ,яаннечосыВ	 имыртсо 	Высоченная, с 	 острыми 	 	 пиками поверху железная огорожа была	Борис Екимов. Пиночет (1999)	Борис Екимов	1938	Пиночет	1999	художественная	повесть	_			книга	омонимия снята	Высоченная, с острыми пиками поверху железная огорожа была там и здесь целыми пролётами повалена и вдавлена колёсами в землю. [Борис Екимов. Пиночет (1999)] [омонимия снята]
 и имазалг имынмузеб с акеволеч	 мыртсо 	человека с безумными глазами и 	 острым 	 	 ножом в руках.	Григорий Горин. Иронические мемуары (1990-1998)	Григорий Горин	1940	Иронические мемуары	1990-1998	художественная	мемуары	_			книга	омонимия снята	Только тут все замечают за спиной артиста хохочущего человека с безумными глазами и острым ножом в руках. [Григорий Горин. Иронические мемуары (1990-1998)] [омонимия снята]
 с телсарб йиксечиллатем ыб как	 имыртсо 	как бы металлический браслет с 	 острыми 	 	 крючьями внутри.	Людмила Петрушевская. Маленькая волшебница // «Октябрь», 1996	Людмила Петрушевская	1938	Маленькая волшебница	1996	художественная	роман	_	«Октябрь»	1996	журнал	омонимия снята	Дедушка Иван лежал там без сознания с капканом, замкнувшимся у него на руке ― это был как бы металлический браслет с острыми крючьями внутри. [Людмила Петрушевская. Маленькая волшебница // «Октябрь», 1996] [омонимия снята]
,кос йынневкюлк ил ывотог :еелаД	 йыртсо 	Далее: готовы ли клюквенный сок,	 острый 	 	 нож, штопор для выковыривания глаз, шило	Людмила Петрушевская. Маленькая волшебница // «Октябрь», 1996	Людмила Петрушевская	1938	Маленькая волшебница	1996	художественная	роман	_	«Октябрь»	1996	журнал	омонимия снята	Далее: готовы ли клюквенный сок,острый нож, штопор для выковыривания глаз, шило для ушей?  [Людмила Петрушевская. Маленькая волшебница // «Октябрь», 1996] [омонимия снята]
 латсод ,кюрк ан лисевдоп ,)ондзоп	 йыртсо 	поздно), подвесил на крюк, достал 	 острый 	 	 нож, зажмурился и вонзил нож	Алексей Слаповский. Гибель гитариста (1994-1995)	Алексей Слаповский	1957	Гибель гитариста	1994-1995	художественная	повесть	_			книга	омонимия снята	Он связал ему лапы ( котёнок сперва был доверчив, потом стал дёргаться ― но поздно), подвесил на крюк, достал острый нож, зажмурился и вонзил нож в котёнка. [Алексей Слаповский. Гибель гитариста (1994-1995)] [омонимия снята]
